CRITICAL:root:classifier = models/smalluav_gnb_clf_1-5sec.pkl
CRITICAL:root:threat_value = uav
CRITICAL:root:recording_time = 1.5
CRITICAL:root:number_of_saved_noises = 50
CRITICAL:root:[2021-02-23 20:55:12.614111] Towers wt1 and wt2 spotted a threat. Coordinates [40.41282534060603; -86.95045782286878]
CRITICAL:root:[2021-02-23 20:55:12.614111] Tower wt1 dev = 0.0003234080000000007 ; Tower wt2 dev = 0.00020200475000000002 
CRITICAL:root:[2021-02-23 20:55:12.728532] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269937886834; -86.94986002984837]
CRITICAL:root:[2021-02-23 20:55:12.728532] Tower wt3 dev = 0.0003662444999999997 ; Tower wt1 dev = 0.0003234080000000007 
CRITICAL:root:[2021-02-23 20:55:14.404703] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269937886834; -86.94986002984837]
CRITICAL:root:[2021-02-23 20:55:14.404703] Tower wt3 dev = 0.0003662444999999997 ; Tower wt1 dev = 0.0003234080000000007 
CRITICAL:root:[2021-02-23 20:55:14.640319] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269416881804; -86.94939894039713]
CRITICAL:root:[2021-02-23 20:55:14.640319] Tower wt3 dev = 0.0003662444999999997 ; Tower wt1 dev = 9.644299999999988e-05 
CRITICAL:root:[2021-02-23 20:55:14.732133] Towers wt1 and wt2 spotted a threat. Coordinates [40.41284038987951; -86.95041317669077]
CRITICAL:root:[2021-02-23 20:55:14.732133] Tower wt1 dev = 9.644299999999988e-05 ; Tower wt2 dev = 7.414175000000113e-05 
CRITICAL:root:[2021-02-23 20:55:16.658734] Towers wt1 and wt2 spotted a threat. Coordinates [40.41279878242682; -86.95053661213376]
CRITICAL:root:[2021-02-23 20:55:16.658734] Tower wt1 dev = 9.644299999999988e-05 ; Tower wt2 dev = 4.053849999999942e-05 
CRITICAL:root:[2021-02-23 20:55:16.726623] Towers wt1 and wt2 spotted a threat. Coordinates [40.41272118670166; -86.95076681278506]
CRITICAL:root:[2021-02-23 20:55:16.726623] Tower wt1 dev = 0.0010466050000000008 ; Tower wt2 dev = 4.053849999999942e-05 
CRITICAL:root:[2021-02-23 20:55:16.822715] Towers wt1 and wt2 spotted a threat. Coordinates [40.41272118670166; -86.95076681278506]
CRITICAL:root:[2021-02-23 20:55:16.822715] Tower wt1 dev = 0.0010466050000000008 ; Tower wt2 dev = 4.053849999999942e-05 
CRITICAL:root:[2021-02-23 20:55:18.623875] Towers wt1 and wt2 spotted a threat. Coordinates [40.41273867687184; -86.95071492528021]
CRITICAL:root:[2021-02-23 20:55:18.623875] Tower wt1 dev = 0.0010466050000000008 ; Tower wt2 dev = 0.0001106185000000013 
